EmployeeNumber,Age,Gender,MaritalStatus,Department,JobRole,EducationField,Education,JobLevel,MonthlyIncome,PercentSalaryHike,StockOptionLevel,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,BusinessTravel,OverTime,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,NumCompaniesWorked,TrainingTimesLastYear,DistanceFromHome,Attrition
729,23,Female,Married,Research & Development,Healthcare Representative,Other,5,2,9908,24,1,3,3,3,1,2,Non-Travel,Yes,23,18,7,8,4,0,29,No
730,56,Male,Single,Research & Development,Research Director,Medical,5,2,17563,16,0,3,3,4,1,3,Travel_Frequently,No,40,18,15,12,0,1,19,No
731,22,Male,Divorced,Research & Development,Manufacturing Director,Medical,4,2,15424,12,3,4,1,3,4,4,Non-Travel,No,10,16,6,11,6,0,15,Yes
732,47,Male,Divorced,Research & Development,Research Scientist,Technical Degree,1,2,7485,23,0,3,2,4,4,3,Travel_Rarely,Yes,29,0,1,1,6,0,7,Yes
733,60,Male,Divorced,Sales,Sales Executive,Medical,4,3,14917,19,0,3,2,3,2,3,Travel_Rarely,Yes,3,34,7,14,3,5,9,No
734,48,Male,Divorced,Research & Development,Research Director,Medical,1,1,25076,24,0,3,1,3,2,4,Travel_Frequently,No,34,34,5,3,3,2,17,No
735,28,Male,Divorced,Human Resources,Manager,Medical,5,2,24525,25,0,3,3,3,3,4,Travel_Frequently,No,26,36,0,10,3,4,25,No
736,19,Female,Divorced,Research & Development,Manager,Life Sciences,4,4,30134,22,0,4,4,3,3,4,Non-Travel,No,33,31,4,0,5,6,1,No
737,23,Male,Divorced,Research & Development,Laboratory Technician,Other,3,1,5341,23,0,4,2,4,3,4,Travel_Frequently,Yes,25,10,9,2,1,4,21,Yes
738,22,Male,Divorced,Research & Development,Laboratory Technician,Other,3,2,11559,17,1,3,1,4,3,4,Travel_Frequently,Yes,10,36,4,1,5,6,2,No
739,60,Male,Divorced,Human Resources,Human Resources,Medical,3,5,11657,16,2,3,3,3,3,1,Non-Travel,No,5,34,9,11,7,5,18,No
740,59,Male,Divorced,Research & Development,Research Scientist,Human Resources,2,1,11279,25,1,3,1,4,4,4,Travel_Rarely,No,4,28,14,15,9,4,16,No
741,57,Male,Single,Research & Development,Laboratory Technician,Technical Degree,1,5,10710,16,1,3,4,3,3,4,Non-Travel,Yes,15,36,11,1,4,0,22,No
742,42,Male,Divorced,Research & Development,Healthcare Representative,Marketing,5,2,11632,23,1,4,4,2,3,2,Travel_Frequently,Yes,33,24,12,14,9,3,7,Yes
743,36,Female,Divorced,Sales,Manager,Medical,2,5,24482,25,3,4,3,3,3,2,Travel_Rarely,No,5,11,10,10,5,1,18,No
744,48,Male,Divorced,Research & Development,Manager,Other,2,3,21359,19,1,3,4,1,3,4,Travel_Rarely,Yes,32,11,1,8,6,2,12,No
745,49,Female,Married,Sales,Manager,Other,3,3,22310,14,0,3,2,3,3,4,Non-Travel,Yes,32,33,18,2,1,3,20,No
746,30,Male,Married,Research & Development,Research Scientist,Technical Degree,3,1,14435,16,0,3,4,4,3,2,Travel_Rarely,Yes,13,33,5,11,9,1,27,Yes
747,51,Male,Single,Research & Development,Manager,Medical,1,3,18844,23,2,3,2,3,3,3,Travel_Frequently,Yes,39,6,1,7,8,0,20,No
748,48,Female,Divorced,Research & Development,Laboratory Technician,Marketing,5,4,3704,17,0,3,2,4,2,3,Non-Travel,No,28,0,1,1,4,6,6,No
749,39,Male,Married,Sales,Manager,Marketing,3,5,30707,15,0,3,2,4,3,4,Non-Travel,No,5,32,13,10,0,1,28,No
750,20,Male,Divorced,Sales,Sales Executive,Other,1,3,9718,24,0,3,4,3,3,3,Travel_Rarely,Yes,33,9,3,10,6,4,24,Yes
751,36,Female,Married,Sales,Sales Executive,Technical Degree,2,4,9244,24,1,4,2,3,3,4,Non-Travel,No,28,19,9,13,2,5,1,No
752,28,Male,Divorced,Sales,Manager,Human Resources,1,2,29332,14,2,3,2,3,4,4,Travel_Rarely,Yes,0,23,9,2,0,3,24,No
753,51,Male,Divorced,Sales,Sales Executive,Technical Degree,4,5,10935,22,0,3,3,4,3,4,Travel_Rarely,No,30,15,14,10,4,5,12,No
754,48,Male,Married,Research & Development,Healthcare Representative,Other,4,4,8608,25,1,3,3,1,4,1,Travel_Rarely,Yes,11,8,7,1,7,1,3,No
755,30,Female,Divorced,Research & Development,Laboratory Technician,Marketing,2,2,8334,13,1,3,4,3,3,4,Non-Travel,Yes,10,28,3,13,5,5,28,No
756,37,Male,Married,Research & Development,Manager,Human Resources,5,2,25873,16,1,3,3,3,2,3,Travel_Rarely,No,29,15,15,7,2,6,13,No
757,54,Male,Divorced,Sales,Sales Executive,Human Resources,4,1,12097,13,1,3,2,2,2,3,Travel_Frequently,Yes,38,21,14,15,1,1,16,Yes
758,26,Female,Single,Research & Development,Healthcare Representative,Life Sciences,2,3,15450,17,1,3,4,1,4,2,Non-Travel,Yes,2,37,1,8,8,3,20,Yes
759,47,Female,Married,Research & Development,Manager,Marketing,5,3,30747,13,0,3,3,4,4,4,Travel_Frequently,Yes,2,33,6,0,4,2,8,No
760,54,Male,Single,Human Resources,Human Resources,Life Sciences,1,2,13236,21,1,3,2,4,3,3,Travel_Frequently,Yes,22,36,0,2,4,1,16,No
761,50,Male,Divorced,Sales,Manager,Other,5,4,17083,12,1,3,1,3,4,3,Travel_Rarely,No,9,12,1,3,2,0,28,No
762,47,Male,Single,Research & Development,Manager,Life Sciences,2,2,21924,11,0,3,3,3,3,4,Travel_Rarely,Yes,33,26,14,7,3,4,24,Yes
763,36,Male,Divorced,Research & Development,Research Scientist,Other,3,5,12350,12,0,3,2,2,3,2,Travel_Rarely,Yes,1,36,17,12,8,1,11,No
764,60,Female,Married,Research & Development,Manufacturing Director,Medical,3,3,22311,22,0,3,4,4,2,4,Travel_Frequently,Yes,0,20,6,11,2,6,23,Yes
765,24,Male,Single,Research & Development,Research Scientist,Human Resources,3,4,7063,15,2,3,4,4,2,2,Travel_Frequently,No,4,14,4,0,2,3,2,No
766,57,Male,Single,Research & Development,Healthcare Representative,Other,1,4,10241,17,2,3,3,2,3,2,Travel_Frequently,Yes,18,10,8,10,1,2,11,No
767,58,Male,Single,Sales,Sales Executive,Marketing,4,4,8591,20,3,3,2,3,3,4,Travel_Frequently,Yes,19,0,0,1,7,4,22,Yes
768,41,Male,Married,Research & Development,Healthcare Representative,Marketing,4,4,13453,11,0,3,3,4,2,4,Travel_Rarely,No,32,18,3,1,3,0,26,No
769,53,Male,Married,Human Resources,Manager,Life Sciences,5,1,19911,23,1,3,1,1,3,3,Travel_Rarely,Yes,6,14,10,1,7,0,7,No
770,46,Female,Married,Research & Development,Research Director,Marketing,3,5,23055,15,1,3,2,3,3,2,Travel_Rarely,Yes,12,6,0,0,9,3,6,No
771,40,Male,Married,Research & Development,Manufacturing Director,Marketing,2,2,17261,20,0,3,3,4,3,3,Travel_Frequently,Yes,16,28,13,12,6,6,5,Yes
772,22,Male,Single,Sales,Manager,Technical Degree,4,1,30142,15,3,3,2,1,2,1,Travel_Frequently,Yes,7,33,1,14,9,3,22,Yes
773,20,Male,Divorced,Research & Development,Healthcare Representative,Other,3,5,6119,11,0,3,4,4,2,3,Travel_Rarely,Yes,11,1,0,1,9,4,17,No
774,37,Female,Divorced,Sales,Manager,Medical,4,5,25415,18,1,3,4,3,4,3,Travel_Frequently,No,18,38,3,13,6,0,5,No
775,21,Male,Single,Sales,Sales Representative,Other,5,5,10243,20,0,3,3,1,2,3,Travel_Rarely,No,0,31,2,8,2,3,28,Yes
776,19,Male,Single,Human Resources,Human Resources,Medical,1,3,6480,12,2,4,3,3,3,4,Non-Travel,Yes,5,13,3,5,9,4,17,Yes
777,46,Male,Single,Research & Development,Manufacturing Director,Life Sciences,5,4,14707,25,0,3,4,2,1,2,Travel_Frequently,No,22,9,8,8,3,4,15,No
778,46,Male,Married,Human Resources,Manager,Other,1,2,21958,24,0,3,3,2,1,3,Travel_Rarely,Yes,5,0,0,1,9,2,26,No
779,45,Male,Married,Sales,Manager,Life Sciences,5,3,28930,14,1,3,4,4,2,4,Non-Travel,No,27,35,3,11,6,0,16,No
780,33,Male,Divorced,Research & Development,Manager,Life Sciences,4,5,23124,23,2,3,3,3,3,2,Non-Travel,Yes,40,11,0,9,6,5,21,No
781,42,Male,Married,Sales,Manager,Medical,1,4,26397,11,0,3,3,3,3,2,Non-Travel,Yes,22,24,18,7,6,2,18,No
782,50,Male,Divorced,Research & Development,Research Scientist,Human Resources,1,4,13563,13,3,3,4,2,4,4,Travel_Frequently,No,33,36,14,2,6,0,20,No
783,37,Female,Divorced,Research & Development,Research Scientist,Human Resources,2,2,5963,22,0,3,2,3,4,3,Non-Travel,Yes,0,4,2,1,3,0,9,No
784,24,Male,Single,Research & Development,Manufacturing Director,Marketing,4,2,19129,15,0,3,2,3,4,1,Travel_Rarely,No,12,25,9,8,0,6,19,No
785,48,Male,Divorced,Research & Development,Research Scientist,Human Resources,5,1,10874,19,1,4,4,1,4,3,Travel_Rarely,Yes,35,30,4,3,4,0,15,No
786,24,Male,Divorced,Sales,Manager,Human Resources,5,5,27132,23,3,3,4,3,3,4,Travel_Frequently,No,35,14,14,9,8,3,19,No
787,38,Male,Single,Research & Development,Research Scientist,Human Resources,2,1,10731,24,1,3,3,3,4,4,Non-Travel,Yes,24,21,1,11,1,0,16,Yes
788,21,Male,Married,Sales,Manager,Other,2,1,20660,19,1,3,4,3,3,3,Non-Travel,Yes,0,14,1,0,9,5,21,No
789,37,Female,Married,Research & Development,Laboratory Technician,Marketing,5,5,10108,17,0,3,4,3,2,3,Travel_Rarely,No,10,33,0,9,5,3,28,No
790,39,Male,Married,Research & Development,Research Director,Human Resources,1,4,30167,13,0,3,4,2,3,3,Travel_Frequently,Yes,24,34,4,5,6,2,23,Yes
791,43,Female,Single,Sales,Sales Executive,Medical,2,1,13622,13,0,3,2,4,3,3,Travel_Rarely,Yes,30,40,15,9,6,1,25,No
792,42,Female,Single,Research & Development,Research Scientist,Human Resources,3,5,6743,23,1,3,1,1,2,4,Non-Travel,Yes,34,1,0,0,7,4,17,Yes
793,49,Female,Divorced,Human Resources,Manager,Life Sciences,3,4,26200,13,3,3,1,2,4,2,Travel_Rarely,No,27,35,2,4,1,1,2,No
794,32,Male,Divorced,Sales,Sales Representative,Technical Degree,5,3,9625,24,1,3,2,2,3,3,Non-Travel,No,19,30,4,3,8,5,25,No
795,34,Male,Single,Sales,Sales Representative,Marketing,3,3,6890,21,1,3,4,4,4,4,Travel_Frequently,Yes,4,23,3,4,3,1,23,No
796,52,Female,Divorced,Human Resources,Manager,Technical Degree,2,2,31669,21,0,3,4,4,3,3,Travel_Frequently,Yes,1,39,6,12,2,6,3,No
797,18,Male,Married,Research & Development,Healthcare Representative,Other,2,1,16943,17,1,3,1,2,4,4,Non-Travel,Yes,32,34,4,8,9,1,11,No
798,18,Female,Divorced,Research & Development,Healthcare Representative,Technical Degree,4,4,8616,19,0,4,4,4,4,3,Non-Travel,Yes,11,2,2,2,4,5,12,No
799,21,Female,Divorced,Sales,Sales Representative,Technical Degree,5,1,10617,11,1,3,2,4,3,4,Travel_Frequently,Yes,20,34,7,3,2,4,15,Yes
800,52,Female,Divorced,Human Resources,Manager,Human Resources,1,3,29311,16,1,3,4,4,3,2,Travel_Frequently,Yes,28,24,4,8,6,1,2,No
801,56,Male,Single,Research & Development,Manager,Human Resources,2,5,28567,18,0,3,4,3,3,2,Travel_Frequently,No,7,34,17,15,0,3,27,Yes
802,31,Male,Divorced,Sales,Manager,Life Sciences,1,2,16894,14,0,3,3,1,3,3,Travel_Rarely,Yes,29,11,6,6,1,0,1,Yes
803,56,Male,Married,Research & Development,Manager,Marketing,2,3,27097,17,2,3,4,4,3,2,Non-Travel,Yes,35,35,9,10,3,5,3,Yes
804,48,Male,Divorced,Research & Development,Research Scientist,Human Resources,3,1,10027,11,0,3,3,4,4,3,Non-Travel,Yes,25,17,5,0,5,6,27,Yes
805,55,Female,Divorced,Sales,Sales Representative,Other,4,4,8004,15,0,3,3,3,1,4,Travel_Rarely,Yes,19,24,2,2,3,2,1,Yes
806,38,Female,Married,Research & Development,Manufacturing Director,Marketing,5,2,19432,17,0,3,3,3,4,3,Non-Travel,No,36,6,6,2,6,4,15,Yes
807,32,Female,Divorced,Research & Development,Manufacturing Director,Other,4,5,27110,12,0,3,3,3,3,2,Non-Travel,Yes,29,34,2,14,6,0,23,No
808,19,Male,Married,Research & Development,Laboratory Technician,Life Sciences,5,1,5621,23,3,4,1,3,4,2,Travel_Frequently,Yes,4,5,6,3,5,2,17,Yes
809,47,Male,Divorced,Research & Development,Research Scientist,Medical,1,1,12184,19,1,3,3,3,3,3,Non-Travel,Yes,38,31,18,12,2,3,9,No
810,56,Male,Single,Sales,Sales Executive,Medical,1,5,11427,16,1,3,2,4,3,1,Travel_Frequently,No,27,30,16,4,0,6,19,No
811,49,Male,Single,Sales,Sales Representative,Other,3,4,4465,15,3,3,4,2,1,2,Non-Travel,Yes,30,0,0,0,8,4,11,Yes
812,18,Female,Single,Research & Development,Healthcare Representative,Medical,1,2,10254,17,0,4,1,3,3,4,Non-Travel,Yes,23,3,0,3,1,0,26,No
813,59,Female,Divorced,Research & Development,Manufacturing Director,Life Sciences,1,3,12408,13,0,3,1,1,3,3,Travel_Rarely,Yes,28,3,0,4,2,1,2,No
814,45,Male,Married,Sales,Sales Executive,Marketing,5,3,16764,22,0,3,2,2,1,3,Travel_Frequently,Yes,29,37,13,6,6,2,5,No
815,48,Male,Divorced,Research & Development,Healthcare Representative,Marketing,5,1,11216,14,3,3,3,1,3,2,Non-Travel,Yes,2,7,2,5,8,5,20,No
816,29,Female,Married,Research & Development,Manager,Medical,3,2,20165,17,1,3,3,2,2,3,Non-Travel,No,2,4,5,3,7,1,19,No
817,34,Male,Married,Research & Development,Manager,Other,3,4,24088,25,0,3,4,3,3,3,Non-Travel,Yes,28,19,8,1,6,2,15,No
818,23,Male,Single,Research & Development,Healthcare Representative,Marketing,3,1,11944,11,1,3,4,4,2,4,Non-Travel,Yes,38,23,3,7,1,0,4,No
819,42,Male,Married,Research & Development,Manufacturing Director,Technical Degree,1,2,12274,13,1,3,3,3,3,4,Travel_Rarely,No,20,6,4,1,2,0,29,No
820,29,Female,Married,Sales,Sales Executive,Other,1,1,12109,16,0,3,4,4,4,2,Non-Travel,Yes,22,28,18,8,7,5,29,Yes
821,46,Male,Married,Research & Development,Research Scientist,Human Resources,1,3,11036,22,1,3,1,3,4,4,Travel_Rarely,Yes,4,18,1,0,6,2,22,No
822,18,Male,Married,Research & Development,Healthcare Representative,Medical,4,1,7874,19,1,4,3,2,3,1,Travel_Rarely,No,19,13,10,9,1,1,21,No
823,57,Male,Married,Research & Development,Manufacturing Director,Life Sciences,1,1,16201,17,3,3,4,3,3,3,Travel_Rarely,No,25,11,9,6,8,0,3,No
824,46,Male,Married,Research & Development,Manager,Medical,2,5,23826,24,0,3,2,4,4,3,Travel_Rarely,No,14,30,0,0,6,3,15,No
825,39,Female,Single,Research & Development,Laboratory Technician,Marketing,3,2,7689,25,0,3,1,3,2,2,Travel_Frequently,Yes,37,20,1,5,9,5,25,Yes
826,37,Female,Single,Sales,Sales Executive,Other,1,3,13559,14,0,3,4,3,1,4,Non-Travel,Yes,32,21,8,7,0,1,29,No
827,42,Male,Single,Human Resources,Human Resources,Technical Degree,3,5,9543,19,2,3,3,3,4,3,Non-Travel,No,11,25,2,5,9,5,19,No
828,28,Female,Married,Research & Development,Healthcare Representative,Medical,4,3,12071,16,1,3,1,3,4,3,Travel_Rarely,Yes,1,25,4,0,7,0,3,No
829,32,Female,Single,Research & Development,Laboratory Technician,Other,2,1,11170,16,3,3,1,2,2,3,Non-Travel,Yes,31,35,0,11,9,0,14,No
830,50,Female,Divorced,Sales,Sales Executive,Human Resources,4,4,12479,13,1,3,2,3,3,1,Non-Travel,Yes,3,27,10,7,7,4,25,No
831,31,Female,Divorced,Research & Development,Manufacturing Director,Marketing,3,3,13658,24,0,3,3,3,3,2,Travel_Rarely,No,30,4,1,0,0,1,18,No
832,52,Male,Single,Sales,Sales Representative,Marketing,4,3,4867,21,0,3,3,4,4,3,Travel_Rarely,Yes,7,8,1,6,5,4,20,Yes
833,18,Male,Single,Research & Development,Manager,Other,2,2,16145,24,0,3,4,3,3,4,Travel_Rarely,Yes,8,8,1,3,5,5,7,No
834,50,Female,Married,Sales,Sales Executive,Life Sciences,3,5,6734,14,3,3,3,3,4,3,Travel_Frequently,No,37,5,0,4,8,1,5,No
835,19,Male,Divorced,Research & Development,Manager,Human Resources,1,2,21104,20,1,3,4,1,1,4,Non-Travel,Yes,16,10,3,11,8,6,9,No
836,43,Male,Single,Sales,Sales Representative,Marketing,4,5,5192,25,0,4,2,4,1,4,Travel_Rarely,No,29,10,0,6,3,5,13,Yes
837,54,Female,Married,Human Resources,Human Resources,Marketing,1,4,12862,17,0,3,4,3,3,4,Travel_Rarely,No,14,32,18,13,5,0,10,No
838,28,Male,Single,Research & Development,Research Director,Marketing,2,3,22148,14,2,3,2,4,4,4,Travel_Frequently,No,35,29,10,8,2,0,22,No
839,58,Female,Divorced,Research & Development,Manufacturing Director,Medical,2,3,16996,25,2,3,3,3,3,4,Non-Travel,Yes,16,2,1,1,8,2,26,No
840,36,Male,Divorced,Sales,Sales Executive,Medical,3,2,13757,24,0,3,4,1,2,4,Travel_Frequently,Yes,23,29,16,15,6,0,12,Yes
841,41,Female,Divorced,Human Resources,Manager,Technical Degree,5,3,18716,22,2,4,4,3,3,4,Non-Travel,No,23,29,7,13,5,4,16,No
842,43,Female,Married,Human Resources,Manager,Medical,1,2,26010,16,0,3,4,4,3,1,Non-Travel,Yes,21,24,9,2,5,1,25,No
843,38,Male,Single,Research & Development,Laboratory Technician,Technical Degree,3,2,7427,14,0,3,3,4,3,3,Travel_Frequently,Yes,24,23,3,9,0,5,9,No
844,30,Female,Single,Research & Development,Manufacturing Director,Medical,1,4,23591,20,0,3,4,3,2,2,Travel_Frequently,No,1,15,0,3,7,4,27,No
845,27,Male,Single,Research & Development,Laboratory Technician,Other,3,2,4156,17,2,3,1,3,3,3,Travel_Frequently,No,31,7,0,1,7,1,21,Yes
846,51,Male,Single,Human Resources,Human Resources,Technical Degree,4,3,9974,17,0,3,4,1,4,4,Travel_Rarely,No,2,26,11,4,7,4,3,No
847,38,Male,Single,Sales,Sales Representative,Medical,1,3,9042,13,0,3,3,4,1,2,Travel_Rarely,No,1,33,9,7,9,5,26,No
848,43,Male,Single,Sales,Sales Executive,Human Resources,3,3,16334,22,0,3,4,2,3,4,Travel_Frequently,Yes,38,33,5,15,3,2,5,Yes
849,40,Female,Divorced,Research & Development,Manufacturing Director,Human Resources,5,5,18373,13,0,3,4,3,2,4,Travel_Rarely,No,14,13,12,5,3,1,8,No
850,50,Male,Single,Research & Development,Research Scientist,Human Resources,4,1,10980,23,1,3,4,4,3,3,Travel_Rarely,No,6,22,0,15,1,1,13,Yes
851,53,Female,Divorced,Sales,Manager,Technical Degree,4,3,16405,19,2,3,4,3,3,3,Non-Travel,Yes,16,14,4,4,3,1,23,No
852,28,Male,Married,Human Resources,Human Resources,Other,5,2,12306,22,2,4,1,3,2,2,Non-Travel,No,22,32,12,1,6,1,27,No
853,31,Male,Divorced,Research & Development,Healthcare Representative,Other,1,5,10952,11,0,3,3,3,4,2,Travel_Rarely,No,15,23,0,15,5,1,28,No
854,25,Male,Single,Research & Development,Healthcare Representative,Other,1,5,16964,23,0,3,2,3,1,4,Non-Travel,Yes,23,35,12,2,5,5,9,No
855,41,Male,Divorced,Research & Development,Research Scientist,Other,3,1,8971,12,1,4,2,3,1,3,Travel_Rarely,Yes,1,20,18,2,9,5,13,Yes
856,55,Female,Single,Research & Development,Laboratory Technician,Life Sciences,3,2,6857,17,3,3,3,1,3,4,Travel_Rarely,No,31,20,3,4,1,1,10,No
857,54,Female,Married,Sales,Sales Executive,Technical Degree,1,5,8053,19,1,3,4,3,3,4,Non-Travel,No,14,15,2,5,2,3,21,No
858,47,Male,Divorced,Research & Development,Research Scientist,Medical,2,5,10272,25,3,3,3,2,4,3,Non-Travel,No,40,21,12,10,4,1,1,No
859,29,Male,Divorced,Human Resources,Manager,Marketing,4,4,22751,15,3,3,1,3,1,4,Travel_Rarely,Yes,30,14,0,1,0,1,14,Yes
860,43,Male,Married,Human Resources,Manager,Technical Degree,3,1,17387,17,2,3,2,3,3,4,Travel_Frequently,No,2,19,8,10,0,0,14,No
861,32,Female,Married,Sales,Sales Representative,Technical Degree,1,1,9994,25,1,3,2,2,3,4,Travel_Frequently,No,14,30,10,6,0,5,12,No
862,18,Male,Single,Research & Development,Manager,Marketing,2,1,20729,24,0,3,3,3,2,4,Non-Travel,No,36,11,12,5,9,3,12,No
863,60,Male,Married,Human Resources,Manager,Life Sciences,3,5,24835,12,0,4,2,3,4,4,Travel_Frequently,Yes,15,27,8,8,9,3,10,Yes
864,44,Male,Divorced,Sales,Sales Representative,Marketing,5,4,6441,13,1,3,1,4,4,4,Non-Travel,Yes,34,16,16,8,1,1,6,Yes
865,54,Male,Married,Sales,Sales Executive,Human Resources,3,2,12428,15,1,3,1,3,3,3,Travel_Rarely,Yes,37,28,4,4,0,1,1,No
866,54,Female,Single,Sales,Sales Representative,Medical,3,1,8909,13,2,3,4,4,3,3,Travel_Rarely,Yes,25,27,11,12,3,2,19,No
867,48,Male,Divorced,Research & Development,Manager,Marketing,5,3,14729,14,0,3,3,3,3,2,Travel_Rarely,Yes,14,0,1,0,3,2,29,No
868,28,Male,Married,Sales,Sales Representative,Other,1,1,4259,15,0,3,1,3,2,3,Travel_Frequently,No,25,8,8,0,0,4,26,Yes
869,27,Female,Single,Human Resources,Manager,Other,4,4,30937,25,0,3,4,2,3,1,Non-Travel,Yes,13,36,10,1,2,1,18,No
870,21,Male,Married,Research & Development,Healthcare Representative,Marketing,2,2,12217,14,0,4,2,3,3,2,Travel_Frequently,No,8,10,0,2,5,3,19,No
871,31,Female,Married,Human Resources,Human Resources,Life Sciences,4,4,4634,16,3,3,2,4,2,2,Travel_Frequently,No,30,0,1,1,3,5,2,Yes
872,41,Male,Single,Sales,Manager,Life Sciences,2,3,18801,22,3,3,1,1,4,3,Travel_Rarely,No,29,13,1,12,9,6,24,No
873,23,Male,Single,Research & Development,Research Scientist,Technical Degree,4,3,12581,21,2,3,4,4,4,2,Non-Travel,No,30,29,15,10,4,3,4,Yes
874,29,Female,Single,Research & Development,Manufacturing Director,Other,2,3,17991,19,2,3,1,2,3,3,Non-Travel,No,37,16,10,12,6,6,18,Yes
875,50,Female,Single,Sales,Sales Representative,Medical,1,2,4107,12,0,3,4,3,3,4,Non-Travel,No,2,9,3,5,8,3,26,No
876,60,Female,Married,Human Resources,Human Resources,Human Resources,2,3,4702,12,1,3,3,2,1,3,Travel_Frequently,Yes,38,4,2,5,1,3,4,No
877,49,Male,Married,Sales,Sales Executive,Marketing,2,2,13165,12,0,3,4,3,2,4,Non-Travel,Yes,37,24,12,6,3,5,24,Yes
878,30,Male,Single,Sales,Manager,Human Resources,5,5,23551,25,0,3,4,1,2,2,Travel_Frequently,No,23,12,9,10,6,6,17,No
879,57,Female,Married,Research & Development,Research Scientist,Medical,2,5,8236,22,0,3,2,2,3,4,Travel_Frequently,Yes,30,20,10,5,2,2,19,Yes
880,23,Male,Single,Sales,Sales Representative,Medical,2,5,7749,15,0,3,2,4,1,4,Non-Travel,Yes,26,25,6,1,2,4,11,Yes
881,55,Male,Divorced,Research & Development,Manager,Human Resources,3,2,20696,11,0,3,2,3,2,3,Non-Travel,Yes,1,25,17,10,1,1,7,No
882,59,Male,Divorced,Research & Development,Laboratory Technician,Other,1,2,10812,24,0,4,4,2,1,1,Travel_Frequently,Yes,18,34,16,3,5,4,5,No
883,44,Male,Single,Research & Development,Manufacturing Director,Human Resources,1,4,17506,15,3,3,3,4,3,4,Travel_Rarely,Yes,2,34,12,5,9,4,16,No
884,48,Female,Married,Research & Development,Manufacturing Director,Other,3,1,14593,20,0,3,4,2,3,2,Non-Travel,No,39,15,4,13,2,1,3,No
885,37,Male,Divorced,Sales,Sales Executive,Other,4,5,9574,25,2,3,1,4,2,2,Travel_Frequently,Yes,30,4,4,3,2,6,25,No
886,56,Male,Divorced,Research & Development,Manufacturing Director,Other,5,1,20174,11,0,3,2,3,3,4,Travel_Rarely,Yes,10,39,0,1,0,2,7,No
887,39,Male,Single,Research & Development,Manufacturing Director,Medical,3,2,19753,25,1,3,3,4,2,4,Travel_Rarely,No,35,12,11,2,6,6,26,No
888,54,Male,Divorced,Research & Development,Manager,Technical Degree,2,2,23586,13,2,4,1,2,3,4,Non-Travel,No,39,39,12,6,3,6,16,Yes
889,23,Male,Divorced,Research & Development,Manager,Medical,4,5,20417,15,3,3,2,4,2,2,Non-Travel,No,32,32,5,6,3,5,20,Yes
890,52,Male,Married,Sales,Manager,Other,1,4,22250,25,1,3,4,3,2,3,Travel_Rarely,Yes,40,32,11,5,0,5,29,No
891,59,Male,Married,Human Resources,Human Resources,Human Resources,1,3,9212,20,0,4,2,3,1,3,Travel_Rarely,No,19,17,11,15,2,5,22,No
892,27,Female,Divorced,Sales,Manager,Marketing,5,1,28660,13,0,3,3,3,3,3,Travel_Frequently,No,10,25,10,10,3,4,9,No
893,58,Female,Divorced,Research & Development,Manager,Medical,5,4,23335,17,1,4,4,1,3,3,Travel_Rarely,Yes,39,0,1,1,0,4,1,No
894,47,Male,Married,Research & Development,Manufacturing Director,Human Resources,2,5,18470,23,1,3,3,3,3,2,Non-Travel,No,29,19,16,10,3,3,24,No
895,24,Female,Married,Research & Development,Manufacturing Director,Medical,5,4,22314,25,0,4,2,1,3,4,Travel_Rarely,No,2,24,5,12,2,3,2,No
896,53,Male,Single,Research & Development,Healthcare Representative,Human Resources,1,2,13926,11,1,3,4,3,1,4,Non-Travel,No,2,38,10,15,4,5,27,No
897,57,Female,Single,Research & Development,Laboratory Technician,Life Sciences,2,4,10703,23,0,3,4,1,2,1,Non-Travel,No,22,38,12,12,1,4,29,No
898,40,Male,Married,Research & Development,Manufacturing Director,Human Resources,2,4,22511,19,1,4,1,2,4,3,Travel_Frequently,No,3,13,8,12,7,5,1,Yes
899,48,Male,Single,Research & Development,Manufacturing Director,Marketing,1,1,12636,14,0,3,3,4,3,2,Travel_Rarely,Yes,38,10,9,0,6,3,9,No
900,53,Female,Single,Research & Development,Research Director,Life Sciences,3,3,18026,20,1,4,4,2,3,4,Travel_Frequently,No,11,25,5,5,1,4,1,Yes
901,58,Male,Married,Research & Development,Laboratory Technician,Marketing,3,3,6498,20,0,3,3,2,1,4,Travel_Frequently,No,14,18,17,7,5,0,16,No
902,36,Male,Divorced,Research & Development,Laboratory Technician,Medical,2,1,6663,25,2,4,4,4,2,2,Travel_Rarely,Yes,40,21,4,14,7,1,14,Yes
903,59,Male,Married,Research & Development,Manufacturing Director,Human Resources,3,2,19205,21,2,3,4,4,3,2,Non-Travel,No,7,34,16,10,7,2,20,No
904,21,Male,Single,Sales,Sales Executive,Technical Degree,4,3,11917,15,1,3,4,3,3,3,Non-Travel,No,9,21,9,14,8,5,24,No
905,25,Male,Divorced,Research & Development,Healthcare Representative,Human Resources,2,1,13262,16,0,3,1,1,3,2,Non-Travel,No,33,29,6,13,1,6,26,Yes
906,33,Female,Single,Sales,Sales Executive,Human Resources,1,3,15826,23,0,3,4,2,4,3,Travel_Frequently,No,35,33,13,5,5,5,3,No
907,46,Female,Married,Research & Development,Research Scientist,Human Resources,1,1,11296,19,1,3,3,3,4,3,Travel_Rarely,Yes,18,19,8,12,7,0,24,No
